,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
283,santiago del estero,0,AR,1569565796,43,-27.8,-64.26,290.922,3.99
284,grand gaube,40,MU,1569565796,69,-20.01,57.66,299.15,6.7
285,ostersund,90,SE,1569565797,75,63.18,14.64,280.15,4.6
286,krasnyy chikoy,97,RU,1569565627,90,50.36,108.75,280.492,5.91
287,megion,0,RU,1569565797,78,61.04,76.11,279.15,6.0
288,fernley,1,US,1569565797,37,39.61,-119.25,295.15,3.1
289,nuuk,0,GL,1569565798,64,64.17,-51.74,277.15,1.0
290,victoria,75,BN,1569565556,66,5.28,115.24,307.04,3.6
291,riyadh,15,SA,1569565575,36,24.63,46.72,306.15,2.1
292,beberibe,20,BR,1569565799,74,-4.18,-38.13,299.15,7.2
293,toora-khem,82,RU,1569565799,58,52.47,96.11,281.812,0.37
294,kortkeros,75,RU,1569565799,86,61.81,51.56,276.15,3.0
295,aitape,36,PG,1569565800,68,-3.15,142.36,302.412,4.29
296,pevek,95,RU,1569565523,79,69.7,170.27,274.752,9.45
297,tigil,100,RU,1569565800,91,57.8,158.67,276.852,6.08
298,touros,20,BR,1569565218,94,-5.2,-35.46,294.15,2.1
299,nouadhibou,0,MR,1569565608,88,20.93,-17.03,293.15,7.2
300,maceio,40,BR,1569565801,94,-9.67,-35.74,293.15,1.5
301,nikolskoye,90,RU,1569565801,87,59.7,30.79,282.04,2.0
302,dunedin,65,NZ,1569565585,72,-45.87,170.5,284.26,8.05
303,coquimbo,90,CL,1569565591,87,-29.95,-71.34,285.15,2.6
304,cockburn town,47,TC,1569565510,75,21.46,-71.14,301.652,3.73
305,mar del plata,100,AR,1569565527,51,-46.43,-67.52,284.262,7.83
306,buala,18,SB,1569565802,69,-8.15,159.59,301.572,2.02
307,great bend,90,US,1569565802,88,38.36,-98.78,295.15,5.7
308,belaya gora,92,RU,1569565803,54,68.54,146.19,274.612,1.5
309,ucluelet,0,CA,1569565805,82,48.94,-125.55,285.37,15.99
310,mount gambier,90,AU,1569565619,58,-37.83,140.78,285.15,9.3
311,gazimurskiy zavod,36,RU,1569565806,29,51.55,118.33,296.322,5.4
312,broome,0,GB,1569565563,93,52.47,1.45,287.15,3.6
313,nampula,75,MZ,1569565807,82,-15.12,39.26,292.15,6.2
314,nantucket,1,US,1569565639,87,41.28,-70.1,288.71,2.6
315,mahon,75,IE,1569565807,93,51.89,-8.4,285.15,8.2
316,srednekolymsk,78,RU,1569565809,54,67.46,153.71,275.002,1.79
317,le port,4,FR,1569565810,94,42.87,1.37,286.48,1.43
318,tres arroyos,100,AR,1569565810,65,-38.38,-60.28,279.572,4.29
319,wenling,34,CN,1569565811,47,28.38,121.38,305.93,2.44
320,omsukchan,100,RU,1569565812,78,62.53,155.8,268.712,2.14
321,arona,75,IT,1569565813,93,45.76,8.56,292.04,2.1
322,college,75,US,1569565813,100,64.86,-147.8,275.37,1.29
323,soyo,75,AO,1569565814,94,-6.13,12.37,297.15,1.5
324,copiapo,0,CL,1569565587,71,-27.37,-70.33,286.15,2.1
325,eregli,8,TR,1569565815,44,37.51,34.05,293.922,0.76
326,pucallpa,40,PE,1569565815,83,-8.38,-74.54,298.15,6.7
327,mandalgovi,22,MN,1569565567,26,45.76,106.27,294.472,9.84
328,majene,52,ID,1569565815,66,-3.54,118.97,301.722,4.5
329,terrasini,40,IT,1569565816,78,38.15,13.08,296.48,5.1
330,tilichiki,82,RU,1569565816,76,60.47,166.1,277.742,3.87
331,fantanele,0,RO,1569565817,93,46.12,21.4,287.59,1.5
332,broken hill,8,AU,1569565672,11,-31.97,141.45,300.15,4.1
333,singaraja,39,ID,1569565818,71,-8.11,115.08,300.982,4.84
334,mugur-aksy,13,RU,1569565818,34,50.38,90.44,277.882,5.69
335,gorontalo,49,ID,1569565818,58,0.54,123.06,303.082,3.22
336,mingaora,13,PK,1569565635,56,34.78,72.36,296.772,3.04
337,parsons,1,US,1569565819,94,37.34,-95.26,294.15,3.6
338,dromolaxia,40,CY,1569565819,69,34.88,33.59,300.15,3.1
339,aykhal,90,RU,1569565550,64,65.95,111.51,275.15,2.0
340,mahebourg,40,MU,1569565820,69,-20.41,57.7,299.15,6.7
341,kisangani,100,CD,1569565821,97,0.52,25.21,294.852,1.77
342,manbij,0,SY,1569565821,38,36.53,37.96,297.15,3.61
343,adrar,0,DZ,1569565640,13,27.87,-0.29,298.15,3.6
344,mahibadhoo,93,MV,1569565646,67,3.78,72.97,301.522,3.05
345,alghero,40,IT,1569565823,93,40.56,8.32,294.26,1.0
346,saint anthony,75,US,1569565823,62,43.97,-111.68,288.15,3.1
347,grindavik,75,IS,1569565617,76,63.84,-22.43,287.15,4.1
348,siderno,75,IT,1569565823,83,38.28,16.3,297.15,1.0
349,awjilah,0,LY,1569565824,51,29.14,21.3,296.272,0.83
350,magole,75,TZ,1569565824,78,-6.37,37.37,295.15,2.44
351,petropavlovsk-kamchatskiy,0,RU,1569565671,35,53.05,158.65,286.15,10.0
352,hambantota,90,LK,1569565521,89,6.12,81.12,302.15,2.6
353,praia da vitoria,20,PT,1569565825,83,38.73,-27.07,295.15,4.6
354,sijunjung,10,ID,1569565825,58,-0.69,100.95,301.002,1.53
355,samfya,2,ZM,1569565825,47,-11.37,29.56,290.012,4.35
356,roros,75,NO,1569565826,87,62.57,11.38,279.15,5.1
357,prachuap khiri khan,50,TH,1569565826,77,11.81,99.79,298.852,2.37
358,baykit,92,RU,1569565826,66,61.68,96.39,275.052,3.4
359,brae,20,GB,1569565826,93,60.4,-1.35,285.15,7.7
360,puri,10,ID,1569565827,30,-7.54,112.45,309.872,6.55
361,orchard homes,90,US,1569565827,93,46.86,-114.05,283.15,1.27
362,isiro,99,CD,1569565827,98,2.77,27.62,294.202,0.18
363,kabale,97,UG,1569565827,86,-1.26,29.99,286.712,2.29
364,santa maria,0,BR,1569565828,88,-16.02,-48.01,292.15,1.0
365,luxor,0,EG,1569565828,44,25.7,32.65,297.15,2.21
366,irece,1,BR,1569565828,88,-11.3,-41.86,289.692,3.95
367,pekan,75,MY,1569565829,74,3.49,103.39,303.15,1.5
368,cidreira,0,BR,1569565647,92,-30.17,-50.22,287.182,2.32
369,changji,0,CN,1569565829,24,32.07,116.17,302.922,3.41
370,bonavista,77,CA,1569565830,83,48.65,-53.11,282.04,2.24
371,olinda,90,AU,1569565830,81,-37.84,145.39,285.93,7.2
372,xiaoweizhai,5,CN,1569565830,47,26.23,107.51,297.262,1.81
373,ingham,93,AU,1569565830,59,-18.65,146.16,298.992,3.1
374,wangqing,0,CN,1569565831,54,43.31,129.76,297.762,1.2
375,halifax,90,CA,1569565136,100,44.65,-63.58,288.71,4.6
376,puerto leguizamo,2,CO,1569565832,84,-0.19,-74.78,295.992,1.18
377,okhotsk,58,RU,1569565832,49,59.36,143.24,283.232,2.62
378,gulariya,100,IN,1569565833,93,28.2,81.35,295.93,4.22
379,constitucion,100,MX,1569565574,83,23.99,-104.67,289.26,1.79
380,pimentel,4,BR,1569565245,94,-3.7,-45.5,295.572,1.39
381,hualmay,13,PE,1569565833,92,-11.1,-77.61,289.022,5.6
382,eunice,1,US,1569565834,94,30.49,-92.42,295.37,1.53
383,nalut,0,LY,1569565834,75,31.86,10.98,293.232,4.18
384,ambilobe,55,MG,1569565834,40,-13.19,49.05,303.542,1.51
385,flinders,80,AU,1569565834,25,-34.58,150.85,298.15,7.2
386,ruidoso,1,US,1569565835,48,33.33,-105.67,296.15,5.1
387,taunggyi,50,MM,1569565835,52,20.78,97.03,300.812,1.55
388,haines junction,5,CA,1569565237,91,60.75,-137.51,270.642,2.53
389,kastamonu,75,TR,1569565835,87,41.38,33.78,285.37,2.1
390,benavente,0,ES,1569565836,81,42.0,-5.67,284.82,1.5
391,port-de-bouc,0,FR,1569565836,93,43.4,4.98,290.37,1.0
392,oudtshoorn,0,ZA,1569565836,26,-33.59,22.2,301.15,1.0
393,longniddry,20,GB,1569565837,93,55.98,-2.9,284.26,3.6
394,lucapa,99,AO,1569565837,73,-8.42,20.74,294.922,1.44
395,ystad,90,SE,1569565837,93,55.43,13.82,288.15,5.1
396,seminole,1,US,1569565838,64,32.72,-102.64,298.15,2.1
397,jacareacanga,47,BR,1569565838,79,-6.22,-57.76,297.212,0.69
398,kerema,27,PG,1569565838,86,-7.96,145.78,299.002,7.62
399,portland,1,US,1569565640,93,43.66,-70.25,285.93,3.1
400,zamora,0,ES,1569565839,93,41.51,-5.74,279.82,0.5
401,tarko-sale,98,RU,1569565839,85,64.92,77.78,277.59,7.3
402,tuatapere,72,NZ,1569565839,84,-46.13,167.69,283.71,7.15
403,la ronge,90,CA,1569565534,60,55.1,-105.3,277.15,2.6
404,nelson bay,50,AU,1569565840,15,-32.72,152.14,300.15,6.7
405,nanning,0,CN,1569565840,33,22.83,108.3,305.15,3.0
406,flin flon,0,CA,1569565840,73,54.77,-101.88,272.112,2.53
407,kirakira,66,SB,1569565841,77,-10.46,161.92,301.102,1.55
408,lufkin,1,US,1569565841,88,31.34,-94.73,296.48,1.5
409,warwick,1,US,1569565637,100,41.7,-71.42,287.15,1.5
410,aneho,75,TG,1569565842,88,6.23,1.6,299.15,3.6
411,bubaque,74,GW,1569565842,78,11.28,-15.83,300.612,3.18
412,ikalamavony,89,MG,1569565842,38,-21.17,46.6,296.852,3.05
413,biasca,75,CH,1569565842,100,46.36,8.97,290.37,2.1
414,amahai,98,ID,1569565843,91,-3.31,129.0,297.252,4.05
415,mosquera,40,CO,1569565843,81,4.71,-74.23,285.15,2.1
416,takoradi,90,GH,1569565843,95,4.89,-1.75,296.382,1.81
417,yumen,0,CN,1569565843,8,40.29,97.04,300.652,2.63
418,hohhot,0,CN,1569565844,37,40.81,111.65,295.15,3.0
419,adeje,70,NG,1569565844,85,5.68,5.76,298.692,5.52
420,xucheng,90,CN,1569565844,51,33.0,118.51,299.322,3.22
421,benoy,90,RU,1569565845,93,43.06,46.02,288.15,6.0
422,neuquen,0,AR,1569565583,44,-38.95,-68.06,289.15,5.1
423,khvorostyanka,78,RU,1569565845,67,52.62,48.95,282.292,6.29
424,nador,75,MA,1569565846,77,35.17,-2.93,294.15,1.5
425,sakaiminato,75,JP,1569565846,83,35.55,133.23,297.15,4.1
426,strezhevoy,0,RU,1569565846,84,60.73,77.6,279.15,6.0
427,coihaique,0,CL,1569565604,93,-45.58,-72.07,276.15,0.5
428,imperia,20,IT,1569565252,100,43.88,8.02,292.15,1.5
429,venice,1,US,1569565847,83,27.1,-82.45,299.15,3.6
430,talaya,0,RU,1569565847,29,55.79,84.89,283.15,4.0
431,alofi,100,NU,1569565644,73,-19.06,-169.92,296.15,5.1
432,abaza,48,RU,1569565848,60,52.65,90.1,281.542,1.69
433,anadyr,40,RU,1569565606,93,64.73,177.51,280.15,9.0
434,saint-denis,0,FR,1569565848,87,48.94,2.36,288.15,3.1
435,great falls,75,US,1569565680,86,47.5,-111.29,279.15,2.6
436,robinson,1,US,1569565849,87,39.01,-87.74,287.59,2.6
437,zhigansk,79,RU,1569565849,58,66.77,123.37,277.372,0.66
438,datong,17,CN,1569565849,28,40.09,113.3,293.842,1.82
439,mangrol,90,IN,1569565850,94,25.33,76.51,298.15,4.45
440,san quintin,0,PH,1569565850,69,17.54,120.52,302.582,3.08
441,bandar-e lengeh,20,IR,1569565850,63,26.56,54.88,309.15,2.1
442,saint-francois,75,FR,1569565851,82,46.42,3.91,287.15,2.1
443,doha,0,QA,1569565822,63,25.29,51.53,309.15,2.6
444,longyearbyen,90,NO,1569565616,97,78.22,15.63,274.15,1.5
445,rundu,0,NA,1569565851,29,-17.91,19.77,289.15,4.1
446,pangai,20,TO,1569565632,64,-19.8,-174.35,296.15,4.1
447,sorland,20,NO,1569565664,93,67.67,12.69,284.15,7.7
448,susurluk,40,TR,1569565852,88,39.91,28.16,293.15,0.26
449,amot,75,NO,1569565853,93,59.57,7.99,283.15,1.0
450,biak,100,ID,1569565853,93,-0.91,122.88,293.772,1.23
451,kondoa,58,TZ,1569565853,60,-4.91,35.78,294.512,3.7
452,tandil,100,AR,1569565802,92,-37.33,-59.14,280.37,2.24
453,labuhan,71,ID,1569565530,43,-2.54,115.51,306.732,1.37
454,yenagoa,87,NG,1569565573,92,4.92,6.26,297.452,2.54
455,manacapuru,20,BR,1569565854,88,-3.3,-60.62,297.15,0.5
456,kiama,82,AU,1569565854,25,-34.67,150.86,296.48,7.2
457,ukiah,20,US,1569565586,82,39.15,-123.21,291.48,0.65
458,uyemskiy,75,RU,1569565855,86,64.47,40.85,278.15,3.0
459,walla walla,40,US,1569565837,59,46.06,-118.33,290.93,3.1
460,male,100,UA,1569565856,78,50.74,33.7,282.942,1.74
461,kautokeino,38,NO,1569565856,94,69.01,23.04,276.132,1.78
462,pincher creek,75,CA,1569565856,86,49.49,-113.95,276.15,1.07
463,marquette,90,US,1569565856,71,46.54,-87.4,287.04,5.7
464,shahr-e babak,0,IR,1569565857,18,30.12,55.12,300.092,2.25
465,camacha,40,PT,1569565857,68,33.08,-16.33,295.15,3.6
466,kushiro,75,JP,1569565857,63,43.11,144.15,290.15,4.6
467,trzcianka,67,PL,1569565857,87,53.04,16.46,286.132,3.8
468,ahipara,10,NZ,1569565623,85,-35.17,173.16,288.15,8.6
469,seymchan,15,RU,1569565657,47,62.93,152.39,274.412,2.64
470,leningradskiy,100,RU,1569565554,83,69.38,178.42,275.822,8.1
471,valentin gomez farias,100,MX,1569565859,83,24.05,-104.7,289.82,1.79
472,ewa beach,90,US,1569565859,69,21.32,-158.01,301.15,2.6
473,lenauheim,75,RO,1569565859,100,45.87,20.8,287.04,1.5
474,vizinga,98,RU,1569565859,93,61.08,50.08,275.662,3.04
475,san andres,63,PH,1569565860,55,13.32,122.68,306.102,1.08
476,caraubas,10,BR,1569565860,75,-5.79,-37.56,293.572,2.86
477,ojuelos de jalisco,93,MX,1569565860,72,21.86,-101.59,290.742,0.75
478,champerico,100,MX,1569565861,97,16.38,-93.6,293.032,1.97
479,mananjary,21,MG,1569565861,45,-19.16,46.8,295.752,5.96
480,sistranda,0,NO,1569565671,62,63.73,8.83,285.37,11.8
481,yeppoon,0,AU,1569565862,32,-23.13,150.74,301.15,3.6
482,bandarbeyla,100,SO,1569565538,63,9.49,50.81,299.342,12.66
483,barberton,0,SZ,1569565862,62,-25.78,31.05,289.26,1.5
484,masvingo,59,ZW,1569565863,59,-20.08,30.83,285.332,2.58
485,itarema,5,BR,1569565863,81,-2.92,-39.92,296.682,3.47
486,paidha,97,UG,1569565863,94,2.42,30.99,291.032,1.11
487,lagoa,0,PT,1569565863,82,37.14,-8.45,291.15,3.87
488,atambua,0,ID,1569565864,70,-9.11,124.89,299.292,3.5
489,yulara,19,AU,1569565623,13,-25.24,130.99,305.15,4.6
490,balkanabat,0,TM,1569565864,53,39.51,54.36,296.902,2.5
491,eseka,94,CM,1569565864,95,3.65,10.77,295.742,0.32
492,dakar,20,SN,1569565674,88,14.69,-17.45,299.15,2.6
493,marinette,90,US,1569565865,82,45.1,-87.63,288.15,2.1
494,vostok,0,RU,1569565865,51,46.45,135.83,292.362,2.14
495,dzaoudzi,53,YT,1569565866,65,-12.79,45.27,301.15,9.8
496,salalah,20,OM,1569565866,70,17.01,54.1,302.15,4.1
497,kalyny,75,UA,1569565866,93,48.14,23.87,286.48,2.1
498,ostrovnoy,98,RU,1569565593,83,68.05,39.51,276.892,4.95
499,yazoo city,1,US,1569565867,100,32.86,-90.41,296.15,2.24
500,erenhot,0,CN,1569565867,17,43.65,111.97,298.612,7.21
501,nemuro,40,JP,1569565670,68,43.32,145.57,292.15,3.1
502,sechura,5,PE,1569565868,90,-5.56,-80.82,289.912,2.93
503,abu zabad,100,SD,1569565868,80,12.35,29.25,296.592,2.77
504,walvis bay,75,NA,1569565868,12,-22.95,14.51,300.15,11.8
505,irpa irpa,100,BO,1569565868,47,-17.72,-66.29,287.15,2.6
506,alexandria,9,RO,1569565622,72,43.97,25.33,289.032,6.48
507,codrington,40,AU,1569565569,44,-28.95,153.24,301.15,4.6
508,mugumu,11,TZ,1569565869,57,-1.84,34.67,295.782,3.36
509,namatanai,15,PG,1569565869,72,-3.66,152.44,301.432,5.46
510,leova,100,MD,1569565870,92,46.48,28.25,287.042,5.27
511,brookhaven,1,US,1569565870,93,40.78,-72.92,289.82,3.39
512,hofn,100,IS,1569565870,98,64.25,-15.21,277.422,7.04
513,port-cartier,90,CA,1569565871,100,50.03,-66.88,282.15,3.1
514,aquiraz,20,BR,1569565871,74,-3.9,-38.39,299.15,7.2
515,komsomolskiy,13,RU,1569565871,71,67.55,63.78,274.792,2.8
516,pingliang,0,CN,1569565872,37,35.54,106.68,293.282,2.59
517,bauchi,99,NG,1569565873,68,10.31,9.85,296.672,1.89
518,mazamari,100,PE,1569565873,90,-11.33,-74.53,278.892,0.96
519,quelimane,20,MZ,1569565873,82,-17.88,36.89,293.15,5.7
520,andra,100,RU,1569565873,88,62.52,65.89,274.872,4.56
521,santa cruz,19,BR,1569565583,93,-6.22,-36.02,291.952,2.41
522,sisimiut,0,GL,1569565874,57,66.94,-53.67,279.932,1.45
523,miastko,66,PL,1569565874,94,54.0,16.98,282.59,1.79
524,gari,64,RU,1569565875,70,59.43,62.35,277.142,4.57
525,kalmunai,72,LK,1569565875,56,7.42,81.82,304.592,2.82
526,celestun,100,MX,1569565875,83,20.87,-90.4,300.752,7.96
527,san vicente,90,EC,1569565875,94,-0.59,-80.41,295.15,2.6
528,crotone,20,IT,1569565876,78,39.09,17.12,295.15,4.1
529,eureka,90,US,1569565624,93,40.8,-124.16,286.48,6.24
530,porto novo,75,BR,1569565876,100,-23.68,-45.44,289.15,0.5
531,richards bay,0,ZA,1569565550,69,-28.77,32.06,290.542,7.57
532,berlevag,90,NO,1569565570,93,70.86,29.09,281.15,8.7
533,clevelandia,0,BR,1569565802,85,-26.4,-52.47,284.092,1.44
534,okha,0,RU,1569565877,58,53.59,142.95,287.242,6.58
535,nanortalik,0,GL,1569565580,79,60.14,-45.24,278.552,2.9
536,mafeteng,0,LS,1569565878,43,-29.82,27.24,284.15,0.39
537,udachnyy,90,RU,1569565558,64,66.42,112.4,275.15,2.0
538,yanam,75,IN,1569565878,79,16.73,82.22,303.15,1.0
539,henties bay,100,NA,1569565595,33,-22.12,14.28,295.172,8.4
540,sao joao da barra,100,BR,1569565628,97,-21.64,-41.05,291.612,1.19
541,haimen,42,CN,1569565879,60,31.87,121.18,302.04,3.14
542,hami,38,CN,1569565594,13,42.84,93.51,302.842,4.43
543,oistins,20,BB,1569565880,78,13.07,-59.53,300.15,4.1
544,fonte boa,2,BR,1569565880,87,-2.51,-66.09,298.082,2.08
545,hwange,0,ZW,1569565880,53,-18.35,26.5,285.772,3.79
546,high level,1,CA,1569565880,74,58.52,-117.13,276.15,4.1
547,nenjiang,44,CN,1569565881,56,49.17,125.23,296.152,4.76
548,daman,100,IN,1569565881,84,20.42,72.83,300.492,8.74
549,port hedland,0,AU,1569565584,11,-20.31,118.58,308.15,8.7
550,berceni,0,RO,1569565881,93,44.93,26.12,289.82,2.1
551,arroyo,1,BO,1569565882,77,-11.08,-66.08,294.942,1.06
552,belyy yar,40,RU,1569565882,53,53.6,91.39,284.15,2.0
553,solnechnyy,0,RU,1569565882,64,50.72,136.64,288.892,2.38
554,auki,100,NG,1569565638,82,12.18,6.51,297.072,2.9
555,bedele,99,ET,1569565883,90,8.46,36.35,291.372,0.98
556,monteagudo,38,BO,1569565645,44,-19.8,-63.96,285.972,1.28
557,jishou,0,CN,1569565883,40,28.26,109.7,301.772,1.0
558,price,1,US,1569565884,33,39.6,-110.81,287.15,2.1
559,nhulunbuy,40,AU,1569565884,58,-12.18,136.78,302.15,6.7
560,deloraine,90,AU,1569565884,87,-41.53,146.66,284.26,6.7
561,mugla,83,BG,1569565885,52,41.62,24.49,292.15,6.2
562,shagonar,73,RU,1569565885,63,51.54,92.92,282.072,1.61
563,katherine,0,AU,1569565885,19,-14.47,132.26,310.15,6.7
564,carnarvon,0,ZA,1569565586,14,-30.97,22.13,290.562,3.23
565,gillette,90,US,1569565886,81,44.29,-105.5,285.37,4.1
566,gravdal,75,NO,1569565593,93,59.79,5.78,285.93,5.1
567,dinar,75,TR,1569565886,82,38.07,30.16,291.15,1.0
